,TAXON,SECTION,SECTION.EDITED,SUBGENUS,editDateALH
Carex_scopulorum_var_scopulorum|CAL|spm00001237,Carex_scopulorum_var_scopulorum,NA,Phacocystis,Carex,
Carex_randalpina|AUT|spm00003098,Carex_randalpina,Phacocystis,Phacocystis,Carex,
Carex_geminata|NZ|NCBI_AUTHOR_Gardner_330,Carex_geminata,Phacocystis,Phacocystis,Carex,
Carex_darwinii|CLS|spm00000571,Carex_darwinii,Phacocystis,Phacocystis,Carex,
Carex_ternaria|NZ|NCBI_AUTHOR_Gardner_307,Carex_ternaria,Phacocystis,Phacocystis,Carex,
Carex_trinervis|SPA|spm00003778,Carex_trinervis,Phacocystis,Phacocystis,Carex,
Carex_nigra_ssp_intricata|SPA|spm00003775,Carex_nigra_ssp_intricata,NA,Phacocystis,Carex,
Carex_acuta|ITA|spm00003084,Carex_acuta,Phacocystis,Phacocystis,Carex,
Carex_orbicularis_ssp_orbicularis|NEP|spm00003063,Carex_orbicularis_ssp_orbicularis,NA,Phacocystis,Carex,
Carex_kurdica|GRC|spm00003147,Carex_kurdica,Phacocystis,Phacocystis,Carex,
Carex_cespitosa_ssp_cespitosa|NOR|spm00003210,Carex_cespitosa_ssp_cespitosa,NA,Phacocystis,Carex,
Carex_nigra_ssp_transcaucasica|TCS|spm00003281,Carex_nigra_ssp_transcaucasica,NA,Phacocystis,Carex,
Carex_nigra_ssp_nigra|GRB|NCBI_Dean_SM00019,Carex_nigra_ssp_nigra,NA,Phacocystis,Carex,
Carex_nigra_var_juncella|NOR|spm00003773,Carex_nigra_var_juncella,NA,Phacocystis,Carex,
Carex_elata_ssp_omskiana|BLT|spm00003154,Carex_elata_ssp_omskiana,NA,Phacocystis,Carex,
Carex_elata_ssp_elata|SPA|spm00003134,Carex_elata_ssp_elata,NA,Phacocystis,Carex,
Carex_ensifolia|CHQ|spm00005713,Carex_ensifolia,NA,Phacocystis,Carex,
Carex_reuteriana_ssp_mauritanica|SPA|spm00003162,Carex_reuteriana_ssp_mauritanica,NA,Phacocystis,Carex,
Carex_reuteriana_ssp_reuteriana|SPA|spm00003202,Carex_reuteriana_ssp_reuteriana,NA,Phacocystis,Carex,
Carex_panormitana|SAR|spm00003779,Carex_panormitana,Phacocystis,Phacocystis,Carex,
Carex_jaluensis|KOR|NCBI_Jung_2361,Carex_jaluensis,Anomalae,Anomalae,Carex,
Carex_buekii|CZE|spm00000558,Carex_buekii,Phacocystis,Phacocystis,Carex,
Carex_drukyulensis|EHM|spm00003011,Carex_drukyulensis,NA,Phacocystis,Carex,
Carex_eleusinoides|ASK|spm00001623,Carex_eleusinoides,Phacocystis,Phacocystis,Carex,
Carex_dacica|ICE|spm00003155,Carex_dacica,NA,Phacocystis,Carex,
Carex_micrantha|KOR|spm00000339,Carex_micrantha,Phacocystis,Phacocystis,Carex,
Carex_kauaiensis||NCBI_Wagner_3602,Carex_kauaiensis,Phacocystis,Phacocystis,Carex,
Carex_alligata||NCBI_CS_1228,Carex_alligata,Phacocystis,Phacocystis,Carex,
Carex_obnupta|CAL|spm00001105,Carex_obnupta,Phacocystis,Phacocystis,Carex,
Carex_barrattii|ALA|spm00000748,Carex_barrattii,Limosae,Limosae,Carex,
Carex_riishirensis|KUR|spm00008043,Carex_riishirensis,NA,Scitae,Carex,
Carex_podocarpa|BRC|spm00001932,Carex_podocarpa,Scitae,Scitae,Carex,
Carex_fucata|CHC|spm00006432,Carex_fucata,Phacocystis,Phacocystis,Carex,
Carex_melinacra|CHC|spm00005780,Carex_melinacra,Phacocystis,Phacocystis,Carex,
Carex_forrestii|CHC|spm00005723,Carex_forrestii,Phacocystis,Phacocystis,Carex,
Carex_appendiculata|KHA|spm00006476,Carex_appendiculata,Phacocystis,Phacocystis,Carex,
Carex_thunbergii||NCBI_Semsrott_3381,Carex_thunbergii,Phacocystis,Phacocystis,Carex,
Carex_humbertiana|KOR|spm00000334,Carex_humbertiana,Phacocystis,Phacocystis,Carex,
Carex_curvicollis|JAP|spm00006868,Carex_curvicollis,Racemosae,Racemosae,Carex,
Carex_augustinowiczii|SAK|spm00007995,Carex_augustinowiczii,Racemosae,Racemosae,Carex,
Carex_gaudichaudiana||NCBI_Ford_1659,Carex_gaudichaudiana,Phacocystis,Phacocystis,Carex,
Carex_mitchelliana|ALA|spm00001101,Carex_mitchelliana,Phacocystis,Phacocystis,Carex,
Carex_gynandra|DEL|spm00000964,Carex_gynandra,Phacocystis,Phacocystis,Carex,
Carex_torta||NCBI_Dragon_1288,Carex_torta,Phacocystis,Phacocystis,Carex,
Carex_crinita_var_crinita|MAI|spm00000801,Carex_crinita_var_crinita,NA,Longicaules,Carex,
Carex_joorii|FLA|spm00000985,Carex_joorii,Glaucescentes,Glaucescentes,Carex,
Carex_glaucescens|MSI|spm00000926,Carex_glaucescens,Glaucescentes,Glaucescentes,Carex,
Carex_verrucosa|FLA|spm00001373,Carex_verrucosa,Glaucescentes,Glaucescentes,Carex,
Carex_brasiliensis|BZS|spm00000366,Carex_brasiliensis,Thuringiaca,Thuringiaca,Carex,
Carex_typhina|LOU|spm00001330,Carex_typhina,Squarrosae,Squarrosae,Carex,
Carex_squarrosa|ARK|spm00001281,Carex_squarrosa,Squarrosae,Squarrosae,Carex,
Carex_shortiana|KTY|spm00001229,Carex_shortiana,Shortianae,Shortianae,Carex,
Carex_magellanica_ssp_magellanica|CLS|spm00003206,Carex_magellanica_ssp_magellanica,NA,Limosae,Carex,
Carex_magellanica_ssp_irrigua|ASK|spm00001637,Carex_magellanica_ssp_irrigua,NA,Limosae,Carex,
Carex_limosa|ASK|spm00001035,Carex_limosa,Limosae,Limosae,Carex,
Carex_pluriflora|ASK|spm00001956,Carex_pluriflora,Limosae,Limosae,Carex,
Carex_rariflora|YUK|spm00001999,Carex_rariflora,Limosae,Limosae,Carex,
Carex_endlichii|ARI|spm00002095,Carex_endlichii,Phacocystis,Phacocystis,Carex,
Carex_nebraskensis||NCBI_Janeway_2159,Carex_nebraskensis,Phacocystis,Phacocystis,Carex,
Carex_subcernua|JAP|NCBI_AUTHOR_Senni_575,Carex_subcernua,Phacocystis,Phacocystis,Carex,
Carex_barbarae|CAL|spm00001449,Carex_barbarae,Phacocystis,Phacocystis,Carex,
Carex_tuberculata|MXC|spm00000300,Carex_tuberculata,Fecundae,Fecundae,Carex,
Carex_ehrenbergiana|MXC|spm00000298,Carex_ehrenbergiana,Fecundae,Fecundae,Carex,
Carex_chordalis|MXC|spm00000251,Carex_chordalis,Fecundae,Fecundae,Carex,
Carex_jamesonii|VEN|spm00000517,Carex_jamesonii,Fecundae,Fecundae,Carex,
Carex_lemanniana||NCBI_Sundue_3487,Carex_lemanniana,Fecundae,Fecundae,Carex,
Carex_donnellsmithii||NCBI_Ton_3535,Carex_donnellsmithii,NA,Fecundae,Carex,
Carex_breedlovei|MXT|spm00000249,Carex_breedlovei,Fecundae,Fecundae,Carex,
Carex_pichinchensis|ECU|spm00000538,Carex_pichinchensis,Fecundae,Fecundae,Carex,
Carex_fecunda|BOL|spm00005222,Carex_fecunda,Fecundae,Fecundae,Carex,
Carex_spectabilis|BRC|spm00001979,Carex_spectabilis,Scitae,Scitae,Carex,
Carex_paysonis|WYO|spm00008037,Carex_paysonis,Scitae,Scitae,Carex,
Carex_microchaeta|YUK|spm00001946,Carex_microchaeta,Scitae,Scitae,Carex,
Carex_macrochaeta|ORE|spm00001671,Carex_macrochaeta,Scitae,Scitae,Carex,
Carex_mertensii|ASK|spm00001056,Carex_mertensii,Racemosae,Racemosae,Carex,
Carex_cinerascens|CHM|spm00004514,Carex_cinerascens,Phacocystis,Phacocystis,Carex,
Carex_prasina|GEO|spm00001166,Carex_prasina,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_haydenii|WIS|spm00002433,Carex_haydenii,Phacocystis,Phacocystis,Carex,
Carex_aperta|BRC|spm00001842,Carex_aperta,Phacocystis,Phacocystis,Carex,
Carex_tegulata|KOR|NCBI_Jung_2384,Carex_tegulata,Phacocystis,Phacocystis,Carex,
Carex_schmidtii|CHM|NCBI_Jung_2381,Carex_schmidtii,Phacocystis,Phacocystis,Carex,
Carex_cespitosa_ssp_minuta|CHM|spm00004525,Carex_cespitosa_ssp_minuta,NA,Phacocystis,Carex,
Carex_stylosa|NFL|spm00001490,Carex_stylosa,Racemosae,Racemosae,Carex,
Carex_meyeriana|MON|spm00008024,Carex_meyeriana,Racemosae,Racemosae,Carex,
Carex_boliviensis_ssp_occidentalis|MXE|spm00000250,Carex_boliviensis_ssp_occidentalis,NA,Porocystis,Carex,
Carex_boliviensis_ssp_boliviensis|MXC|spm00000255,Carex_boliviensis_ssp_boliviensis,NA,Porocystis,Carex,
Carex_angustispica|MXS|spm00000262,Carex_angustispica,Porocystis,Porocystis,Carex,
Carex_hirsutella|DEL|spm00000935,Carex_hirsutella,Porocystis,Porocystis,Carex,
Carex_bushii|DEL|spm00000777,Carex_bushii,Porocystis,Porocystis,Carex,
Carex_caroliniana|ALA|spm00000815,Carex_caroliniana,Porocystis,Porocystis,Carex,
Carex_swanii|ARK|spm00001304,Carex_swanii,Porocystis,Porocystis,Carex,
Carex_complanata|TEX|spm00000782,Carex_complanata,Porocystis,Porocystis,Carex,
Carex_misera|TEN|spm00001764,Carex_misera,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_roanensis|NCA|spm00001224,Carex_roanensis,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_virescens|ALA|spm00001356,Carex_virescens,Porocystis,Porocystis,Carex,
Carex_aestivalis|PEN|spm00000681,Carex_aestivalis,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_formosa|ILL|spm00001732,Carex_formosa,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_gracillima|ALA|spm00000922,Carex_gracillima,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_davisii|DEL|spm00000858,Carex_davisii,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_oxylepis|KTY|spm00001137,Carex_oxylepis,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_venusta|MSI|spm00001372,Carex_venusta,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_castanea|NFL|spm00001479,Carex_castanea,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_arctata|WIS|spm00000731,Carex_arctata,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_mendocinensis|ORE|spm00001673,Carex_mendocinensis,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_hirtissima|CAL|spm00001694,Carex_hirtissima,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_gynodynama|CAL|spm00001688,Carex_gynodynama,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_debilis|OKL|spm00000863,Carex_debilis,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_tenax|LOU|spm00001308,Carex_tenax,Hallerianae,Hallerianae,Carex,7/26/2019
Carex_dasycarpa|GEO|spm00000873,Carex_dasycarpa,Hallerianae,Hallerianae,Carex,7/26/2019
Carex_hirtifolia|QUE|spm00001475,Carex_hirtifolia,Hirtifoliae,Hirtifoliae,Carex,
Carex_pinophila|MXE|spm00000284,Carex_pinophila,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_whitneyi|CAL|spm00001352,Carex_whitneyi,Longicaules,Longicaules,Carex,
Carex_crinalis|ECU|spm00000602,Carex_crinalis,Longicaules,Longicaules,Carex,
Carex_longicaulis|MXG|spm00000274,Carex_longicaulis,Longicaules,Longicaules,Carex,
Carex_anisostachys|MXT|spm00000258,Carex_anisostachys,Longicaules,Longicaules,Carex,
Carex_coulteri|MXC|spm00000268,Carex_coulteri,Longicaules,Longicaules,Carex,
Carex_caligena|MXE|spm00000264,Carex_caligena,Unplaced,Longicaules,Carex,
Carex_queretarensis|MXE|spm00000294,Carex_queretarensis,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_chiapensis|MXS|spm00000267,Carex_chiapensis,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_austromexicana|MXS|spm00000358,Carex_austromexicana,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_congdonii|CAL|spm00001686,Carex_congdonii,Paludosae,Paludosae,Carex,
Carex_sartwelliana|CAL|spm00001798,Carex_sartwelliana,Paludosae,Paludosae,Carex,
Carex_curatorum||spm00002016,Carex_curatorum,Scirpinae,Scirpinae,Carex,
Carex_scirpoidea_ssp_scirpoidea|ASK|spm00001248,Carex_scirpoidea_ssp_scirpoidea,NA,Scirpinae,Carex,
Carex_scabriuscula|CAL|spm00001246,Carex_scabriuscula,Scirpinae,Scirpinae,Carex,
Carex_grallatoria_ssp_heteroclita|JAP|spm00006653,Carex_grallatoria_ssp_heteroclita,NA,Grallatoriae,Carex,
Carex_grallatoria_ssp_grallatoria|JAP|spm00006651,Carex_grallatoria_ssp_grallatoria,NA,Grallatoriae,Carex,
Carex_secalina|HUN|spm00004542,Carex_secalina,Secalinae,Secalinae,Carex,
Carex_hordeistichos|SPA|spm00000579,Carex_hordeistichos,Secalinae,Secalinae,Carex,
Carex_ischnostachya|CHS|spm00000062,Carex_ischnostachya,Ischnostachyae,Ischnostachyae,Carex,
Carex_brownii|JAP|NCBI_Waterway_3655,Carex_brownii,Anomalae,Anomalae,Carex,
Carex_nemostachys|CHS|spm00000088,Carex_nemostachys,Confertiflorae,Confertiflorae,Carex,
Carex_obliquicarpa|CHS|spm00000089,Carex_obliquicarpa,Confertiflorae,Confertiflorae,Carex,
Carex_pseudochinensis|KOR|spm00000346,Carex_pseudochinensis,Anomalae,Anomalae,Carex,
Carex_latisquamea|JAP|NCBI_Waterway_3665,Carex_latisquamea,Carex,Carex,Carex,
Carex_acutiformis|TVL|spm00002122,Carex_acutiformis,Paludosae,Paludosae,Carex,
Carex_dispalata|JAP|NCBI_Waterway_3652,Carex_dispalata,Confertiflorae,Confertiflorae,Carex,
Carex_amplifolia|NEV|spm00000715,Carex_amplifolia,Anomalae,Anomalae,Carex,
Carex_mollicula|JAP|NCBI_Waterway_3667,Carex_mollicula,Molliculae,Molliculae,Carex,
Carex_alopecuroides|KOR|spm00000321,Carex_alopecuroides,Molliculae,Molliculae,Carex,
Carex_doniana|CHS|spm00000047,Carex_doniana,Molliculae,Molliculae,Carex,
Carex_californica|CAL|spm00001685,Carex_californica,Paniceae,Paniceae,Carex,
Carex_polymorpha|MAI|spm00001907,Carex_polymorpha,Paniceae,Paniceae,Carex,
Carex_pallescens|BRC|spm00002008,Carex_pallescens,Porocystis,Porocystis,Carex,
Carex_planiculmis|KOR|NCBI_Jung_2377,Carex_planiculmis,Molliculae,Molliculae,Carex,
Carex_torreyi|COL|spm00001708,Carex_torreyi,Porocystis,Porocystis,Carex,
Carex_scabrata|QUE|NCBI_Waterway_3706,Carex_scabrata,Anomalae,Anomalae,Carex,
Carex_vestita|DEL|spm00001363,Carex_vestita,Paludosae,Paludosae,Carex,
Carex_globularis|YAK|spm00004387,Carex_globularis,Acrocystis,Acrocystis,Carex,
Carex_norvegica|ORE|spm00001616,Carex_norvegica,Racemosae,Racemosae,Carex,
Carex_stevenii|COL|spm00001710,Carex_stevenii,Racemosae,Racemosae,Carex,
Carex_media|NBR|spm00001772,Carex_media,Racemosae,Racemosae,Carex,
Carex_atratiformis|ABT|spm00001751,Carex_atratiformis,Racemosae,Racemosae,Carex,
Carex_atrata|AUT|spm00007990,Carex_atrata,Racemosae,Racemosae,Carex,
Carex_japonalpina|CHM|spm00006408,Carex_japonalpina,NA,Racemosae,Carex,
Carex_melanocephala|ALT|spm00008022,Carex_melanocephala,Racemosae,Racemosae,Carex,
Carex_aterrima_ssp_aterrima|CZE|spm00007989,Carex_aterrima_ssp_aterrima,NA,Racemosae,Carex,
Carex_aterrima_ssp_medwedewii|TCS|spm00003468,Carex_aterrima_ssp_medwedewii,NA,Racemosae,Carex,
Carex_duthiei|EHM|spm00005711,Carex_duthiei,NA,Racemosae,Carex,
Carex_obscura|CHT|spm00003376,Carex_obscura,Racemosae,Racemosae,Carex,
Carex_atrofuscoides|CHQ|spm00006855,Carex_atrofuscoides,Aulocystis,Aulocystis,Carex,
Carex_gracilenta|CHC|spm00005733,Carex_gracilenta,Racemosae,Racemosae,Carex,
Carex_bijiangensis|CHT|spm00003354,Carex_bijiangensis,Racemosae,Racemosae,Carex,
Carex_obliquitruncata|EHM|spm00005799,Carex_obliquitruncata,Racemosae,Racemosae,Carex,
Carex_schneideri|CHC|spm00005842,Carex_schneideri,Racemosae,Racemosae,Carex,
Carex_albonigra|ASK|spm00001621,Carex_albonigra,Racemosae,Racemosae,Carex,
Carex_melananthiformis|MON|spm00008020,Carex_melananthiformis,Racemosae,Racemosae,Carex,
Carex_sabulosa|YUK|spm00001646,Carex_sabulosa,Racemosae,Racemosae,Carex,
Carex_moorcroftii|CHQ|spm00008026,Carex_moorcroftii,Racemosae,Racemosae,Carex,
Carex_melanantha|KGZ|spm00008019,Carex_melanantha,Racemosae,Racemosae,Carex,
Carex_praeclara|CHT|spm00006396,Carex_praeclara,Racemosae,Racemosae,Carex,
Carex_heterostachya||spm00002022,Carex_heterostachya,Paludosae,Paludosae,Carex,
Carex_kansuensis|CHC|spm00003365,Carex_kansuensis,Racemosae,Racemosae,Carex,
Carex_peiktusani|KOR|NCBI_Jung_2376,Carex_peiktusani,NA,Racemosae,Carex,
Carex_hancockiana|ALT|spm00008006,Carex_hancockiana,Racemosae,Racemosae,Carex,
Carex_gmelinii|ASK|spm00001629,Carex_gmelinii,Racemosae,Racemosae,Carex,
Carex_lehmannii|CHC|spm00005766,Carex_lehmannii,Racemosae,Racemosae,Carex,
Carex_serreana|CHQ|spm00005731,Carex_serreana,Racemosae,Racemosae,Carex,
Carex_helleri|CAL|spm00001464,Carex_helleri,Racemosae,Racemosae,Carex,
Carex_hallii|MAN|spm00001754,Carex_hallii,Racemosae,Racemosae,Carex,
Carex_specuicola|ARI|spm00001814,Carex_specuicola,Racemosae,Racemosae,Carex,
Carex_parryana|ASK|spm00001634,Carex_parryana,Racemosae,Racemosae,Carex,
Carex_idahoa|MNT|spm00001563,Carex_idahoa,Racemosae,Racemosae,Carex,
Carex_aboriginum|IDA|spm00001838,Carex_aboriginum,Racemosae,Racemosae,Carex,
Carex_serratodens|CAL|spm00001226,Carex_serratodens,Racemosae,Racemosae,Carex,
Carex_nelsonii|MNT|spm00001832,Carex_nelsonii,Racemosae,Racemosae,Carex,
Carex_pelocarpa|NEV|spm00001195,Carex_pelocarpa,Racemosae,Racemosae,Carex,
Carex_orestera|CAL|spm00008033,Carex_orestera,NA,Racemosae,Carex,
Carex_raynoldsii|CAL|spm00001184,Carex_raynoldsii,Racemosae,Racemosae,Carex,
Carex_epapillosa|UTA|spm00000886,Carex_epapillosa,Racemosae,Racemosae,Carex,
Carex_heteroneura|NEV|spm00000925,Carex_heteroneura,Racemosae,Racemosae,Carex,
Carex_chalciolepis|COL|spm00002129,Carex_chalciolepis,Racemosae,Racemosae,Carex,
Carex_nova|COL|spm00000700,Carex_nova,Racemosae,Racemosae,Carex,
Carex_bella|COL|spm00001721,Carex_bella,Racemosae,Racemosae,Carex,
Carex_caucasica|NCS|spm00008001,Carex_caucasica,Racemosae,Racemosae,Carex,
Carex_infuscata|WHM|spm00008013,Carex_infuscata,Racemosae,Racemosae,Carex,
Carex_pseudobicolor|WHM|spm00008041,Carex_pseudobicolor,Racemosae,Racemosae,Carex,
Carex_atrosquama|MNT|spm00001720,Carex_atrosquama,Racemosae,Racemosae,Carex,
Carex_parviflora|FRA_|spm00008036,Carex_parviflora,Racemosae,Racemosae,Carex,
Carex_malmei|AGS|spm00008015,Carex_malmei,Racemosae,Racemosae,Carex,
Carex_atropicta|AGS|spm00007993,Carex_atropicta,Racemosae,Racemosae,Carex,
Carex_phylloscirpoides|CLN|spm00008195,Carex_phylloscirpoides,NA,Racemosae,Carex,
Carex_hartmanii|GER|spm00008007,Carex_hartmanii,Racemosae,Racemosae,Carex,
Carex_buxbaumii|ASK|spm00000765,Carex_buxbaumii,Racemosae,Racemosae,Carex,
Carex_adelostoma|ASK|spm00001619,Carex_adelostoma,Racemosae,Racemosae,Carex,
Carex_holostoma|ASK|spm00001631,Carex_holostoma,Racemosae,Racemosae,Carex,
Carex_arnellii|SWE|spm00003783,Carex_arnellii,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_sprengelii|NBR|spm00001766,Carex_sprengelii,Hymenochlaenae,Hymenochlaenae,Carex,
Carex_buchananii|NZ|NCBI_AUTHOR_Gardner_316,Carex_buchananii,Echinochlaenae,Echinochlaenae,Carex,
Carex_litorosa|NZ|NCBI_AUTHOR_Gardner_288,Carex_litorosa,Echinochlaenae,Echinochlaenae,Carex,
Carex_chathamica|NZ|NCBI_AUTHOR_Gardner_305,Carex_chathamica,Echinochlaenae,Echinochlaenae,Carex,
Carex_dolomitica|NZ|NCBI_AUTHOR_Gardner_282,Carex_dolomitica,Echinochlaenae,Echinochlaenae,Carex,
Carex_ophiolithica|NZ|NCBI_AUTHOR_Gardner_331,Carex_ophiolithica,Echinochlaenae,Echinochlaenae,Carex,
Carex_solandri|NZN|NCBI_AUTHOR_Gardner_343,Carex_solandri,Echinochlaenae,Echinochlaenae,Carex,
Carex_hectorii|NZ|NCBI_AUTHOR_Gardner_284,Carex_hectorii,NA,Echinochlaenae,Carex,
Carex_uncifolia|NZ|NCBI_AUTHOR_Gardner_303,Carex_uncifolia,Echinochlaenae,Echinochlaenae,Carex,
Carex_rubicunda|NZS|spm00004423,Carex_rubicunda,Echinochlaenae,Echinochlaenae,Carex,
Carex_tasmanica|TAS|spm00004362,Carex_tasmanica,Echinochlaenae,Echinochlaenae,Carex,
Carex_ochrosaccus|NZ|NCBI_AUTHOR_Gardner_345,Carex_ochrosaccus,Echinochlaenae,Echinochlaenae,Carex,
Carex_dallii|NZ|NCBI_AUTHOR_Gardner_310,Carex_dallii,Echinochlaenae,Echinochlaenae,Carex,
Carex_dipsacea|NZS|NCBI_AUTHOR_Gardner_338,Carex_dipsacea,Echinochlaenae,Echinochlaenae,Carex,
Carex_calcis|NZS|spm00002186,Carex_calcis,Echinochlaenae,Echinochlaenae,Carex,
Carex_forsteri|NZS|spm00002183,Carex_forsteri,Echinochlaenae,Echinochlaenae,Carex,
Carex_traversii|NZS|spm00002187,Carex_traversii,Echinochlaenae,Echinochlaenae,Carex,
Carex_comans|NZ|NCBI_AUTHOR_Gardner_309,Carex_comans,Echinochlaenae,Echinochlaenae,Carex,
Carex_berggrenii|NZ|NCBI_AUTHOR_Gardner_327,Carex_berggrenii,Echinochlaenae,Echinochlaenae,Carex,
Carex_testacea|NZ|NCBI_AUTHOR_Gardner_291,Carex_testacea,Echinochlaenae,Echinochlaenae,Carex,
Carex_dissita|NZ|NCBI_AUTHOR_Gardner_342,Carex_dissita,Echinochlaenae,Echinochlaenae,Carex,
Carex_lambertiana|NZ|NCBI_AUTHOR_Gardner_295,Carex_lambertiana,Echinochlaenae,Echinochlaenae,Carex,
Carex_raoulii|NZ|NCBI_AUTHOR_Gardner_313,Carex_raoulii,Echinochlaenae,Echinochlaenae,Carex,
Carex_wakatipu|NZ|NCBI_AUTHOR_Gardner_300,Carex_wakatipu,Echinochlaenae,Echinochlaenae,Carex,
Carex_kermadecensis|NZ|NCBI_AUTHOR_Gardner_287,Carex_kermadecensis,Echinochlaenae,Echinochlaenae,Carex,
Carex_cirrhosa|NZ|NCBI_AUTHOR_Gardner_318,Carex_cirrhosa,Echinochlaenae,Echinochlaenae,Carex,
Carex_cockayneana|NZ|NCBI_AUTHOR_Gardner_332,Carex_cockayneana,NA,Echinochlaenae,Carex,
Carex_flagellifera|NZ|NCBI_AUTHOR_Gardner_283,Carex_flagellifera,Echinochlaenae,Echinochlaenae,Carex,
